item_sku,rec_sku,category,rec_category
GLASS50R,10SSD,,"Screwdrivers, Nut Drivers & Keys"
GLASS50R,340SSDP,,"Screwdrivers, Nut Drivers & Keys"
SHDX80G,GA295,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,BP16B,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
SHDX80G,PT5C,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,FB361A,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,FB316B,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,PK53A,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,FB360C,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,AC5C,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHDX80G,TPM16,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,KRA2007FPBO,"Screwdrivers, Nut Drivers & Keys",Heritage Series Tool Storage
VO806B,EEDM504F,Wrenches,Testing and Electronics
VO806B,S281,Wrenches,Socket and Drive Tools
VO806B,RULER600,Wrenches,General Hand Tools
VO806B,MTTL300,Wrenches,Testing and Electronics
VO806B,AW1015DHK,Wrenches,"Screwdrivers, Nut Drivers & Keys"
VO806B,EARPLUGBAND,Wrenches,Ear And Face Protection
VO806B,ST50A,Wrenches,"Screwdrivers, Nut Drivers & Keys"
VO806B,TB20AC,Wrenches,Tool Storage Accessories
VO806B,AWM140DK,Wrenches,"Screwdrivers, Nut Drivers & Keys"
VO806B,AW1020DK,Wrenches,"Screwdrivers, Nut Drivers & Keys"
PTGR110,PHG1055BK,"Power Tools, Air",Power Tool Accessories
PTGR110,211EFAMY,"Power Tools, Air",Socket and Drive Tools
PTGR110,YA1050B,"Power Tools, Air",Power Tool Accessories
PTGR110,205IPF,"Power Tools, Air",Socket and Drive Tools
PTGR110,CJ2001P,"Power Tools, Air",Job Specific Tools
PTGR110,DB129C,"Power Tools, Air",Power Tool Accessories
PTGR110,VWB8B,"Power Tools, Air",Power Tool Accessories
PTGR110,YA105013,"Power Tools, Air",Power Tool Accessories
PTGR110,DBTB121,"Power Tools, Air",Power Tool Accessories
PTGR110,RD8,"Power Tools, Air",General Hand Tools
TW181A,SPBS704AR,Socket and Drive Tools,General Hand Tools
TW181A,PPC710BK,Socket and Drive Tools,"Hammers, Punches, and Chisels"
TW181A,LN47ACF,Socket and Drive Tools,Pliers
TW181A,97ACF,Socket and Drive Tools,Pliers
TW181A,EFPHANNIBALB,Socket and Drive Tools,Ear And Face Protection
TW181A,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,BHS7A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TA27,SPBS12AR,Job Specific Tools,General Hand Tools
TA27,SPBS8AR,Job Specific Tools,General Hand Tools
TA27,SGDP42IRBR,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
TA27,SHD1R,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
TA27,96ACF,Job Specific Tools,Pliers
TA27,TMXK2,Job Specific Tools,Socket and Drive Tools
TA27,SRPCR3800,Job Specific Tools,Pliers
TA27,FU8A,Job Specific Tools,Socket and Drive Tools
TA27,PPC4A,Job Specific Tools,"Hammers, Punches, and Chisels"
TA27,PWCS7ACF,Job Specific Tools,Pliers
F80MP,FRW10,Socket and Drive Tools,Wrenches
F80MP,PPK15,Socket and Drive Tools,General Hand Tools
F80MP,ADCF8,Socket and Drive Tools,Wrenches
F80MP,FB307RNB,Socket and Drive Tools,General Hand Tools
F80MP,ACT51234A,Socket and Drive Tools,Job Specific Tools
F80MP,PHP2A,Socket and Drive Tools,Job Specific Tools
F80MP,SDMV208,Socket and Drive Tools,Job Specific Tools
F80MP,SSDMRT8A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80MP,CTINF9010,Socket and Drive Tools,"Power Tools, Cordless"
F80MP,RD8,Socket and Drive Tools,General Hand Tools
KRA2422PWZ,OEXM6B,Classic Series Tool Storage,Wrenches
KRA2422PWZ,KWSN2455AST,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,EFPHANNIBALB,Classic Series Tool Storage,Ear And Face Protection
KRA2422PWZ,PG160,Classic Series Tool Storage,Job Specific Tools
KRA2422PWZ,SGDEL10ESD,Classic Series Tool Storage,"Screwdrivers, Nut Drivers & Keys"
KRA2422PWZ,TM65,Classic Series Tool Storage,Fuel and Engine Systems
KRA2422PWZ,KWSN2455ABL,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,KWSP2455ABL,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,KWSP2455AST,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,KRWT2411,Classic Series Tool Storage,Tool Storage Accessories
FM18,SGASA204CR,Socket and Drive Tools,General Hand Tools
FM18,PL400B,Socket and Drive Tools,Pliers
FM18,SRPCR4700,Socket and Drive Tools,Pliers
FM18,HBFE32,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FM18,EFPHANNIBALB,Socket and Drive Tools,Ear And Face Protection
FM18,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,BHS7A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
CSSD1G,HBBD56,General Hand Tools,"Hammers, Punches, and Chisels"
CSSD1G,HBBT16,General Hand Tools,"Hammers, Punches, and Chisels"
CSSD1G,HCP48BCF,General Hand Tools,Job Specific Tools
CSSD1G,PHP1A,General Hand Tools,Job Specific Tools
CSSD1G,PHP3A,General Hand Tools,Job Specific Tools
CSSD1G,BT518,General Hand Tools,Job Specific Tools
CSSD1G,RADKITULTRA,General Hand Tools,Job Specific Tools
CSSD1G,PHP2A,General Hand Tools,Job Specific Tools
CSSD1G,SVTS264,General Hand Tools,Job Specific Tools
CSSD1G,XFR704,General Hand Tools,Wrenches
AWCGT7,TMXK60,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,SRPCR3800,"Screwdrivers, Nut Drivers & Keys",Pliers
AWCGT7,SIMM180,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,SIMM150A,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,SIMM160A,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,SIMM240,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,ATECH3FR300B,"Screwdrivers, Nut Drivers & Keys",Electronic Torque Wrenches
AWCGT7,SIMM200,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,SOEXM710,"Screwdrivers, Nut Drivers & Keys",Wrenches
AWCGT7,PPC203A,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
BRHC2PK,MAGMAT,Job Specific Tools,Tool Storage Accessories
BRHC2PK,SIMM300,Job Specific Tools,Socket and Drive Tools
BRHC2PK,CSSD1R,Job Specific Tools,General Hand Tools
BRHC2PK,OEXM7B,Job Specific Tools,Wrenches
BRHC2PK,210FCOMA,Job Specific Tools,Wrenches
BRHC2PK,OEXM8B,Job Specific Tools,Wrenches
BRHC2PK,REX25C,Job Specific Tools,General Hand Tools
BRHC2PK,OEXM9B,Job Specific Tools,Wrenches
BRHC2PK,FB303B,Job Specific Tools,General Hand Tools
BRHC2PK,ECUHD218,Job Specific Tools,"Power Tools, Cordless"
FMAS,SPBS18AR,,General Hand Tools
FMAS,SPBS8AR,,General Hand Tools
FMAS,SGD6BR,,"Screwdrivers, Nut Drivers & Keys"
FMAS,SGD2BR,,"Screwdrivers, Nut Drivers & Keys"
FMAS,T72,,Socket and Drive Tools
FMAS,SRPCR3800,,Pliers
FMAS,FX1,,Socket and Drive Tools
FMAS,SIMM170,,Socket and Drive Tools
FMAS,SIMM160A,,Socket and Drive Tools
FMAS,PPC205A,,"Hammers, Punches, and Chisels"
TMA4E,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,SGDE215ESD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,SGDE225ESD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,SGDEP200ESD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,SGDE220ESD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,SGDE230ESD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,SGDEP20ESD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMA4E,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
BB9008KIT,SPBS8AR,Job Specific Tools,General Hand Tools
BB9008KIT,SGD6BR,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
