,query_sku,rec_sku,price
270,112TMMY,SGASA204CR,67.25
271,112TMMY,FXK11,53.5
272,112TMMY,PPC710BK,318.0
273,112TMMY,GSAF1F,27.0
274,112TMMY,FU8A,67.0
275,112TMMY,FXK3,34.25
276,112TMMY,OEXM80B,39.75
277,112TMMY,OEXM90B,41.0
278,112TMMY,SXK5,47.75
279,112TMMY,EC-USB-C-3A,43.25
280,114ATMP,RXFS605B,296.0
281,114ATMP,114ATMP,407.0
282,114ATMP,CSA8CR,40.25
283,114ATMP,317MSPC,915.0
284,114ATMP,SOEXM710,510.0
285,114ATMP,OEXM80B,39.75
286,114ATMP,GSAF1F,27.0
287,114ATMP,112TMMY,245.0
288,114ATMP,OEX10B,39.75
289,114ATMP,OEX8B,39.75
290,117TMM,UPT35,30.75
291,117TMM,PPC710BK,318.0
292,117TMM,CSA8CR,40.25
293,117TMM,SOEXM710,510.0
294,117TMM,SGASA204CR,67.25
295,117TMM,117TMM,495.0
296,117TMM,PL400B,235.5
297,117TMM,SPBS704AR,274.0
298,117TMM,HBBD24,137.5
299,117TMM,PK23A,25.5
300,1206GS,224SFFSMFR,690.0
301,1206GS,106BTMX,160.5
302,1206GS,SOEXM8,41.0
303,1206GS,F80,142.0
304,1206GS,110TMDY,177.5
305,1206GS,222SFFSFR,660.0
306,1206GS,FXK6,42.0
307,1206GS,214SIMFMYA,396.0
308,1206GS,S9706KRA,51.25
309,1206GS,214IMFMYA,266.0
310,120SSDP,VS807B,379.0
311,120SSDP,CNT6521,38.25
312,120SSDP,AW1013DK,67.25
313,120SSDP,PPC816B,39.25
314,120SSDP,95ACF,58.5
315,120SSDP,AWL1010DK,67.5
316,120SSDP,SQUARECOMB12,398.0
317,120SSDP,FXK8,44.25
318,120SSDP,8HR,33.25
319,120SSDP,A106,50.25
320,120STTM,212FSMY,260.0
321,120STTM,RXFS605B,296.0
322,120STTM,F80,142.0
323,120STTM,222SFFSFR,660.0
324,120STTM,224SFFSMFR,690.0
325,120STTM,212SFSMY,391.0
326,120STTM,FXK6,42.0
327,120STTM,110TMDY,177.5
328,120STTM,OEXM80B,39.75
