item_sku,rec_sku,category,rec_category
SGA173BR,PKNC150,Job Specific Tools,General Hand Tools
SGA173BR,LP10WR,Job Specific Tools,Pliers
SGA173BR,TPM16,Job Specific Tools,General Hand Tools
SGA173BR,206EAU,Job Specific Tools,Socket and Drive Tools
SGA173BR,117TMM,Job Specific Tools,Socket and Drive Tools
SGA173BR,SOEX707,Job Specific Tools,Wrenches
SGA173BR,KRA2007FPBO,Job Specific Tools,Heritage Series Tool Storage
SGA173BR,UIM225,Job Specific Tools,General Hand Tools
313TWYA,BHS7A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
313TWYA,1210B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
313TWYA,EFPHANNIBALB,Socket and Drive Tools,Ear And Face Protection
313TWYA,PTGR450,Socket and Drive Tools,"Power Tools, Air"
313TWYA,SEPHDSETAOBA,Socket and Drive Tools,
313TWYA,R1618SC,Socket and Drive Tools,Wrenches
313TWYA,96ACF,Socket and Drive Tools,Pliers
313TWYA,PPC1A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
313TWYA,SHDX80R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
313TWYA,SOEXM710,Socket and Drive Tools,Wrenches
FHR80G,OXRM710A,Socket and Drive Tools,Wrenches
FHR80G,OEXS709B,Socket and Drive Tools,Wrenches
FHR80G,HBBD8,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FHR80G,AWMBPH9,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FHR80G,PTM30,Socket and Drive Tools,General Hand Tools
FHR80G,AWBPH13,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FHR80G,WTG10A,Socket and Drive Tools,Pliers
FHR80G,OXIM6B,Socket and Drive Tools,Wrenches
FHR80G,PTM2,Socket and Drive Tools,General Hand Tools
FHR80G,OFW3,Socket and Drive Tools,Job Specific Tools
F80,AWM110DHK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80,PK53A,Socket and Drive Tools,General Hand Tools
F80,PRH57A,Socket and Drive Tools,Pliers
F80,S9704KA,Socket and Drive Tools,Job Specific Tools
F80,LP10WR,Socket and Drive Tools,Pliers
F80,AC5C,Socket and Drive Tools,Job Specific Tools
F80,AWM110DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80,AW1013DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80,UIM225,Socket and Drive Tools,General Hand Tools
F80,PTIM5,Socket and Drive Tools,General Hand Tools
SIMM170,SPBS8AR,Socket and Drive Tools,General Hand Tools
SIMM170,SGDX80BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SIMM170,SPBS12AR,Socket and Drive Tools,General Hand Tools
SIMM170,96ACF,Socket and Drive Tools,Pliers
SIMM170,ATECH3FR300B,Socket and Drive Tools,Electronic Torque Wrenches
SIMM170,SHD6R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
SIMM170,PPC820B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
SHD4O,PG160,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHD4O,10R,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,BF620C,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHD4O,TWM25,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SHD4O,8HR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,GA98A,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHD4O,S6106KA,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHD4O,ECFB200BL,"Screwdrivers, Nut Drivers & Keys",Lighting
SHD4O,313SYA,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SHD4O,BP8B,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
SGD6BG,OEXM6B,"Screwdrivers, Nut Drivers & Keys",Wrenches
SGD6BG,OFW3,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,AC58E,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,TMM4,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SGD6BG,222AFSP,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SGD6BG,FB303B,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SGD6BG,OFW2,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,ACT83A,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SGD6BG,SN25A,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SGD6BG,206EAU,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
FM10,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,PKNC200,Socket and Drive Tools,General Hand Tools
FM10,SOXRRM710A,Socket and Drive Tools,Wrenches
FM10,HBBD32,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FM10,SOEXM710,Socket and Drive Tools,Wrenches
FM10,SHD2R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM10,SGD4BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
AWBMXL9,317MPC,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,205IPF,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,THRLX72,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,FB316B,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWBMXL9,JT13B,"Screwdrivers, Nut Drivers & Keys",Power Tool Accessories
AWBMXL9,MAGDISH,"Screwdrivers, Nut Drivers & Keys",Tool Storage Accessories
AWBMXL9,RXFS605B,"Screwdrivers, Nut Drivers & Keys",Wrenches
AWBMXL9,FHLX80B,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,S8,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWBMXL9,FXK4,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
CGRS865K2,LN47ACF,"Power Tools, Cordless",Pliers
CGRS865K2,FXK3,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,F80,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,SPBS8AR,"Power Tools, Cordless",General Hand Tools
CGRS865K2,BLPTHC87,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,SIMM170,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,SPBS18AR,"Power Tools, Cordless",General Hand Tools
CGRS865K2,PPC4A,"Power Tools, Cordless","Hammers, Punches, and Chisels"
CGRS865K2,TMU8B,"Power Tools, Cordless",Socket and Drive Tools
CGRS865K2,TMXK2,"Power Tools, Cordless",Socket and Drive Tools
KAC1224TCA,FA12LE,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,FRX181,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,GF22,Creepers/Covers,Job Specific Tools
KAC1224TCA,TW481,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,HD6529,Creepers/Covers,Job Specific Tools
KAC1224TCA,FAML6E,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,STX70E,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,YA2850A,Creepers/Covers,Job Specific Tools
KAC1224TCA,SA16E,Creepers/Covers,Socket and Drive Tools
KAC1224TCA,RC980,Creepers/Covers,Job Specific Tools
FTA35,A277,Socket and Drive Tools,Tool Storage Accessories
FTA35,FRW10,Socket and Drive Tools,Wrenches
FTA35,MAGDISH,Socket and Drive Tools,Tool Storage Accessories
FTA35,ECHDF042,Socket and Drive Tools,Lighting
FTA35,SGDMRC4A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTA35,ATECH1FS300,Socket and Drive Tools,Electronic Torque Wrenches
FTA35,808CF,Socket and Drive Tools,Pliers
FTA35,CSA8CR,Socket and Drive Tools,General Hand Tools
FTA35,61CF,Socket and Drive Tools,Pliers
FTA35,HBFE48,Socket and Drive Tools,"Hammers, Punches, and Chisels"
GLASS50R,340SSDP,,"Screwdrivers, Nut Drivers & Keys"
GLASS50R,AT4124,,Power Tool Accessories
GLASS50R,10SSD,,"Screwdrivers, Nut Drivers & Keys"
GLASS50R,PK52A,,General Hand Tools
GLASS50R,AT4135,,Power Tool Accessories
GLASS50R,ACT1290A,,Job Specific Tools
GLASS50R,PTIM5,,General Hand Tools
GLASS50R,212EFTAY,,Socket and Drive Tools
GLASS50R,GLOVE300BL,,Gloves
GLASS50R,GLOVEORIGPLUSL,,Gloves
SHDX80G,TPM16,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,AC5C,"Screwdrivers, Nut Drivers & Keys",Job Specific Tools
SHDX80G,FB360C,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,KRA2007FPBO,"Screwdrivers, Nut Drivers & Keys",Heritage Series Tool Storage
SHDX80G,PK53A,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,FB316B,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
SHDX80G,311IMFSY,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SHDX80G,FTX60E,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
SHDX80G,BP8B,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
SHDX80G,PT5C,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
VO806B,KRA4059FPBO,Wrenches,Heritage Series Tool Storage
VO806B,SWM291,Wrenches,Socket and Drive Tools
VO806B,107ATMPB,Wrenches,Socket and Drive Tools
VO806B,SWM281,Wrenches,Socket and Drive Tools
VO806B,SWM301,Wrenches,Socket and Drive Tools
VO806B,ST50A,Wrenches,"Screwdrivers, Nut Drivers & Keys"
VO806B,RULER600,Wrenches,General Hand Tools
VO806B,AW1020DK,Wrenches,"Screwdrivers, Nut Drivers & Keys"
VO806B,2420A,Wrenches,General Hand Tools
VO806B,206AFSP,Wrenches,Socket and Drive Tools
PTGR110,307ESAY,"Power Tools, Air",Socket and Drive Tools
PTGR110,VWB8B,"Power Tools, Air",Power Tool Accessories
PTGR110,RD8,"Power Tools, Air",General Hand Tools
PTGR110,DBTB121,"Power Tools, Air",Power Tool Accessories
PTGR110,YA105013,"Power Tools, Air",Power Tool Accessories
PTGR110,211EFAMY,"Power Tools, Air",Socket and Drive Tools
PTGR110,CJ2001P,"Power Tools, Air",Job Specific Tools
PTGR110,DB129C,"Power Tools, Air",Power Tool Accessories
PTGR110,SRPCR112,"Power Tools, Air",Pliers
PTGR110,205IPF,"Power Tools, Air",Socket and Drive Tools
TW181A,BHS7A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,EFPHANNIBALB,Socket and Drive Tools,Ear And Face Protection
TW181A,1210B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
TW181A,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,R1618SC,Socket and Drive Tools,Wrenches
TW181A,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TW181A,PKNC200,Socket and Drive Tools,General Hand Tools
TW181A,47ACF,Socket and Drive Tools,Pliers
TA27,PL400B,Job Specific Tools,Pliers
TA27,F80,Job Specific Tools,Socket and Drive Tools
